RC,UFI,UNI,DLAT,DLONG,LAT,LONG,MGRS,UTM,JOG,FC,DSG,PC,CC1,ADM1,ADM2,DIM,CC2,NT,LC,SHORT_FORM,GENERIC,SORT_NAME,FULL_NAME,FULL_NAME_,NEWDLAT,NEWDLONG
"3","-2033317","-2827526",11.94805560000,42.58638890000,"115653","423511",38PKU3713521957,KU32,NC38-01,H,WLL,"0",DJ,"0","0","0",,V,,,,KADDAASDORRA,Kadda-As Dorra,Kadda-As Dorra,11.94052593000,42.59421362000
"3","-2035855","-2827515",12.35055560000,42.45888890000,"122102","422732",38PKU2365766630,KU26,ND38-13,H,WLL,"0",DJ,"0","0","0",,N,,,,KADADDABBA,Kadad Dabba,Kadad Dabba,12.34477456000,42.45799601000
"3","-2035851","-2827511",11.81666670000,42.06666670000,"114900","420400",38PJU8033707959,JU80,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,KADAD,Kadad,Kadad,11.81498091000,42.05974805000
"3","-2035837","-2827496",11.25000000000,43.10000000000,"111500","430600",38PKT9257844294,KT94,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,KABAHKABAH,Kaba² Kaba²,Kabah Kabah,11.24879899000,43.09414824000
"3","-2035832","-2827486",12.37500000000,43.34277780000,"122230","432034",38PLU1982768580,LU16,ND38-13,H,WLL,"0",DJ,"4","0","0",,N,,,,IYYILOU,¯Iyyilou,`Iyyilou,12.36911920000,43.34569007000
"3","-2035831","-2827485",11.00000000000,42.06666670000,"110000","420400",38PJT7942117547,JT71,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,IYYAKIMBIRROU,¯Iyyakimbirrou,`Iyyakimbirrou,10.99439054000,42.05838709000
"3","-2035826","-2827480",12.33333330000,42.85000000000,"122000","425100",38PKU6619464352,KU66,ND38-13,H,WLL,"0",DJ,"0","0","0",,N,,,,ISTAMIR,Istamir,Istamir,12.33094187000,42.84693491000
"3","-2035820","-2827474",11.73138890000,42.64527780000,"114353","423843",38PKT4334997925,KT49,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,ISO,¯Iso,`Iso,11.73749121000,42.65020283000
"3","-2035813","-2827467",11.82555560000,42.67333330000,"114932","424024",38PKU4649508320,KU40,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,ISGIDILIM,Isgîdilim,Isgidilim,11.81774501000,42.67826280000
"3","-2037493","-2827462",11.98333330000,42.45000000000,"115900","422700",38PKU2230825995,KU22,NC38-01,H,WLL,"0",DJ,"0","0","0",,V,,,,IRRIN,Irrin,Irrin,11.99002221000,42.45711062000
"3","-2035804","-2827455",11.23166670000,42.94722220000,"111354","425650",38PKT7587942378,KT74,NC38-01,H,WLL,"0",DJ,"0","0","0",,V,,,,IRGIHANI,Irgihâni,Irgihani,11.23385266000,42.95478331000
"3","-2035804","-2827454",11.23166670000,42.94722220000,"111354","425650",38PKT7587942378,KT74,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,IRGAHANI,Irga²âni,Irgahani,11.23614319000,42.94804904000
"3","-2035797","-2827446",11.57194440000,42.27972220000,"113419","421647",38PKT0331180635,KT08,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,INKISAR,Inki Sâr,Inki Sar,11.57950510000,42.28260730000
"3","-2035794","-2827443",11.55250000000,42.13083330000,"113309","420751",38PJT8703878642,JT87,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,INKISAR,Inki Sar,Inki Sar,11.55426670000,42.12501102000
"3","-2035790","-2827438",11.16666670000,42.82138890000,"111000","424917",38PKT6208135285,KT63,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,¯Êla,INKIELA,Inki ¯Êla,Inki `Ela,11.16982233000,42.81787207000
"3","-2035787","-2827435",11.01361110000,42.17472220000,"110049","421029",38PJT9125318941,JT91,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,INKAWDI,Inkawdi,Inkawdi,11.02056346000,42.17379511000
"3","-2035784","-2827432",12.46666670000,42.85000000000,"122800","425100",38PKU6631379105,KU67,ND38-13,H,WLL,"0",DJ,"0","0","0",,N,,,,INKAFLE,Inkafle,Inkafle,12.46223814000,42.84873482000
"3","-2035780","-2827428",11.51250000000,42.41166670000,"113045","422442",38PKT1765173922,KT17,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,ININBATI,Ininbâti,Ininbati,11.51830926000,42.40992898000
"3","-2037493","-2827425",11.98333330000,42.45000000000,"115900","422700",38PKU2230825995,KU22,NC38-01,H,WLL,"0",DJ,"0","0","0",,V,,,,ININ,¯Inin,`Inin,11.98168357000,42.44520061000
"3","-2035777","-2827424",12.29027780000,43.08472220000,"121725","430505",38PKU9169559395,KU95,ND38-13,H,WLL,"0",DJ,"0","0","0",,N,,,,INIFO,In¯îfo,In`ifo,12.29728918000,43.07793006000
"3","-2035769","-2827416",11.53444440000,42.85138890000,"113204","425105",38PKT6566075954,KT67,NC38-01,H,WLL,"0",DJ,"3","0","0",,N,,,,INDOLE,Indôlé,Indole,11.53446947000,42.85034806000
"3","-2035765","-2827409",10.97694440000,42.01666670000,"105837","420100",38PJT7392615049,JT71,NC38-05,H,WLL,"0",DJ,"2","0","0",,N,,,,INAITO,Inâ¯ito,Ina`ito,10.98208898000,42.01452075000
"3","-2035777","-2827402",12.29027780000,43.08472220000,"121725","430505",38PKU9169559395,KU95,ND38-13,H,WLL,"0",DJ,"0","0","0",,V,,,,INAIFO,Inaifo,Inaifo,12.28442474000,43.07741429000
"3","-2033275","-2827400",10.98333330000,42.83333330000,"105900","425000",38PKT6323914991,KT61,NC38-05,H,WLL,"0",DJ,"0","0","0",,V,,,,INAASSAMO,Ina ¯Assamo,Ina `Assamo,10.97821706000,42.83914376000
"3","-2035756","-2827398",11.80027780000,42.66833330000,"114801","424006",38PKU4592705528,KU40,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,IMIMA,Imîma,Imima,11.80348360000,42.66975980000
"3","-2035748","-2827390",11.84000000000,42.49000000000,"115024","422924",38PKU2652310092,KU21,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,ILMIIDDOYTA,Ilmi¯iddoyta,Ilmi`iddoyta,11.83891703000,42.49229837000
"3","-2035743","-2827383",12.03027780000,42.13694440000,"120149","420813",38PJU8824631527,JU83,ND38-13,H,WLL,"0",DJ,"0","0","0",,N,,,,ILLIOUKA,Illi¯oûka,Illi`ouka,12.02718106000,42.13886540000
