Iso3,Country,Site ID,Site name,Borehole name,Automatic Borehole ID,Local Borehole ID,Latitude,Longitude,Elevation in meters above sea level,Status,Drilling date,Unknown drilling date,Last editor,Date of update,Hidden borehole,Depth in m,Static water level in meters below ground level,Type of pump,Pump brand and model,Pump depth in m,Pump motor power in kilowatt,Energy source,Generator brand and model,Generator capacity in kilovolt-ampere (kVA),Casing diameter in inch,Casing material,Screened areas in m,Sum of screened areas in m,End of casing/start of open hole in m,Aquifer type,Driller's yield in m3/hr,Dynamic Water Level at driller's yield in m,Pumping tests (DWL [m] - yield [m3/hr]),Pumping test quality control evaluation from solar tool (read only),Safe yield from solar tool in m3/hr (read only),Transmissivity from constant rate pumping test in m2/sec,Daily pumping time in h,Date of last water quality control,Conductivity in micro S/cm (microsiemen/cm),pH,Turbidity in NTU,Ammonia concentration in mg/L,Arsenic concentration in micro g/L,Fluoride concentration in mg/L,Nitrate concentration in mg/L,Nitrite concentration in mg/L,E-Coli,Solar potential in % (read only),Investment cost estimation in $ (read only),Maintenance cost estimation (read only),Solar gross payback in years (read only),Amount of CO2 avoided in tonnes/year (read only),Attachment description,Comments
SSD,South Sudan,SSDs008776,Pamir,PBH_4,SSD-SSDs008776-003,PBH_4,9.905,30.54,,active,23/03/2014,,Temesgen Endale,30/09/2019,no,103,61.47,electrical_pump,SP14-25,71,,solar_generator,,,6,pvc,"51.12-65.32, 73.84-96.56",36.92,,,17,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs008776,Pamir,PBH_2,SSD-SSDs008776-004,PBH_2,9.912,30.368,,active,28/08/2014,,Temesgen Endale,30/09/2019,no,101,61,electrical_pump,SP14-25,70,,solar_generator,,,6,pvc,"45.44-68.16, 73.84-76.68",25.56,,,18,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs008776,Pamir,PBH_5,SSD-SSDs008776-000019,PBH_5,9.903,30.344,,active,,,Temesgen Endale,30/09/2019,no,,,electrical_pump,,,,solar_generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs008776,Pamir,PBH_6,SSD-SSDs008776-000020,PBH_6,9.902964,30.353352,,active,,,Temesgen Endale,30/09/2019,no,,,electrical_pump,,,,solar_generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs008776,Pamir,PBH_7,SSD-SSDs008776-000021,PBH_7,9.903398,30.368197,,active,,,Temesgen Endale,30/09/2019,no,,,electrical_pump,,,,solar_generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs008776,Pamir,PBH_8,SSD-SSDs008776-000022,PBH_8,9.903491,30.37532,,active,,,Temesgen Endale,30/09/2019,no,,,electrical_pump,,,,solar_generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs008776,Pamir,PBH_9,SSD-SSDs008776-000023,PBH_9,9.912405,30.353533,,active,,,Temesgen Endale,30/09/2019,no,,,electrical_pump,,,,solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs008776,Pamir,Manelela HP,SSD-SSDs008776-000024,Manelela HP,9.91775,30.34547,,active,,,Temesgen Endale,30/09/2019,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs008776,Pamir,IRC HP,SSD-SSDs008776-000025,IRC HP,9.91593,30.34888,,active,,,Temesgen Endale,30/09/2019,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs008776,Pamir,Knuba HP,SSD-SSDs008776-000026,Knuba HP,9.90462,30.3476,,active,,,Temesgen Endale,30/09/2019,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs008776,Pamir,Kandeka HP,SSD-SSDs008776-000027,Kandeka HP,9.90457,30.35324,,active,,,Temesgen Endale,30/09/2019,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs008776,Pamir,Trihaka HP,SSD-SSDs008776-000028,Trihaka HP,9.90485,30.36702,,active,,,Temesgen Endale,30/09/2019,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs004118,Yida,YBH-MSF,SSD-SSDs004118-008,YBH-MSF,10.1059,30.08367,,active,1/12/2014,,Temesgen Endale,30/09/2019,no,58,,electrical_pump,Grundfos SQ5 70,48.5,,generator,,33,4,pvc,49.5-55.2,5.7,,,4.877,,,,,,10.47,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs004118,Yida,011-BH-B10,SSD-SSDs004118-001,Unknown,10.1036,30.06735,418,active,15/10/2015,,,,no,78,,electrical_pump,Grundfos SQ5 70,51,1.81,generator,"OLYMPIAN PERKIN ENGINE,",18,4,pvc,66.0-75.0,9,,,6,,,,,,8.5,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs004118,Yida,010-BH-B12,SSD-SSDs004118-002,Unknown,10.11431,30.06936,420,active,15/10/2015,,,,no,76,,electrical_pump,Grundfos SQ5 70,51,1.81,generator,"OLYMPIAN PERKIN ENGINE,",18,4,pvc,66.0-75.0,9,,,4.114,,,,,,12,,,,,,,,,,,,,,,,,
