Iso3,Country,Site ID,Site name,Borehole name,Automatic Borehole ID,Local Borehole ID,Latitude,Longitude,Elevation in meters above sea level,Status,Drilling date,Unknown drilling date,Last editor,Date of update,Hidden borehole,Depth in m,Static water level in meters below ground level,Type of pump,Pump brand and model,Pump depth in m,Pump motor power in kilowatt,Energy source,Generator brand and model,Generator capacity in kilovolt-ampere (kVA),Casing diameter in inch,Casing material,Screened areas in m,Sum of screened areas in m,End of casing/start of open hole in m,Aquifer type,Driller's yield in m3/hr,Dynamic Water Level at driller's yield in m,Pumping tests (DWL [m] - yield [m3/hr]),Pumping test quality control evaluation from solar tool (read only),Safe yield from solar tool in m3/hr (read only),Transmissivity from constant rate pumping test in m2/sec,Daily pumping time in h,Date of last water quality control,Conductivity in micro S/cm (microsiemen/cm),pH,Turbidity in NTU,Ammonia concentration in mg/L,Arsenic concentration in micro g/L,Fluoride concentration in mg/L,Nitrate concentration in mg/L,Nitrite concentration in mg/L,E-Coli,Solar potential in % (read only),Investment cost estimation in $ (read only),Maintenance cost estimation (read only),Solar gross payback in years (read only),Amount of CO2 avoided in tonnes/year (read only),Attachment description,Comments
MLI,Mali,,Mopti - Gnirignara,FP1,MLI--004,Unknown,15.35638889,-4.72277778,,active,3/7/2014,,,,no,86.8,48.75,hand_pump,PMH India,57,,,N/A,,5,pvc,63.36-80.7,17.34,,fractured_rock,1.54,,,,,,2,3/7/2014,311,8.21,,,,,4.9,,,,,,,,,Construction UNHCR
MLI,Mali,,Mopti - kaoural Djangohi,,MLI--005,Unknown,15.21036111,-2.12680556,,active,23/01/2015,,,,no,91,49,hand_pump,PMH India,,,,N/A,,5,pvc,55.48-87.6,32.12,,fractured_rock,1,,,,,,6,12/3/2013,,,,,,,,,,,,,,,,Construction UNHCR
MLI,Mali,,Mopti - Komoguel II,,MLI--006,Unknown,14.50152778,-4.189,,active,8/9/2014,,,,no,40,3.8,hand_pump,PMH India,15,,,N/A,,5,,25.0-33.7,8.7,,fractured_rock,8,,,,,,5,17/09/2014,112,7.08,,,,,1.77,,,,,,,,,Construction UNHCR
MLI,Mali,,Mopti - Massaya Daga,,MLI--007,Unknown,14.49922222,-4.20616667,,active,14/09/2014,,,,no,40,0.9,hand_pump,PMH India,15,,,N/A,,5,pvc,29.24-38.0,8.76,,fractured_rock,8,,,,,,5,15/09/2014,133,7.18,3.9,0.5,0.01,,4.7,,,,,,,,,Construction UNHCR
MLI,Mali,,Mopti - Sambaolo,FP3,MLI--008,Unknown,14.95883333,-4.25044444,,active,30/06/2014,,,,no,32.6,14.8,hand_pump,PMH India,18,,,N/A,,5,pvc,21.9-30.7,8.8,,fractured_rock,8,,,,,,,11/7/2014,442,7.39,1,,,,,,,,,,,,,Construction UNHCR
MLI,Mali,,Mopti - Tabakat2,FP2,MLI--009,Unknown,15.07922222,-5.01341667,,active,7/7/2014,,,,no,82,43.45,hand_pump,PMH India,63,,,N/A,,5,pvc,60.22-74.8,14.58,,fractured_rock,1.4,,,,,,3,17/07/2014,225,8.09,2,,,,5.7,,,,,,,,,Construction UNHCR
MLI,Mali,,Mopti - Tamiziguida,,MLI--010,Unknown,15.30802778,-2.38552778,,active,31/10/2014,,,,no,82,44.6,hand_pump,PMH India,,,,N/A,,5,pvc,68.5-79.5,11,,fractured_rock,2,,,,,,4,11/8/2014,,,,,,,,,,,,,,,,Construction UNHCR
MLI,Mali,MLIs003307,N’Tillit,TIntitolawen,MLI-MLIs003307-000001,Unknown/1,0.2950322,15.362958,,active,,no,Bernadette KAWERA/ WASH Officer,30/11/2020,no,,,hand_pump,,,,,,,,,,,,,,,"52.98-4,54.78-4,55.73-4",,,,,,,,,,,,,,,,,,,,,
MLI,Mali,MLIs003307,N’Tillit,Tagmarte,MLI-MLIs003307-000003,Unknown,16.180833,0.60453,,active,10/10/2020,no,Bernadette KAWERA / WASH Officer,30/11/2020,no,,,electrical_pump,,,,solar,,,,,,,,,,,,,,,,13/11/2020,257,7.44,0,,,0.43,2.36,,,,,,,,,
MLI,Mali,,Tombouctou - Bagdad,,MLI--011,Unknown,15.60833333,-4.955,,active,24/10/2014,,,,no,91,,hand_pump,PMH India,,,,N/A,,5,pvc,,,,fractured_rock,6,,,,,,,,,,,,,,,,,,,,,,,Construction UNHCR
MLI,Mali,,Tombouctou - Bancoma Inawakitane,,MLI--012,Unknown,16.80186111,-2.46908333,,active,,,,,no,39.88,5.12,hand_pump,PMH India,27,,,N/A,,7.87,pvc,,,,fractured_rock,3.85,,,,,,,,,,,,,,,,,,,,,,,Construction UNHCR
MLI,Mali,,Tombouctou - Benguel,,MLI--013,Unknown,16.81475,-2.16888889,,active,12/10/2014,,,,no,54.7,5.8,hand_pump,PMH India,,,,N/A,,5,pvc,,,,fractured_rock,2.95,,,,,,,,,,,,,,,,,,,,,,,Construction UNHCR
MLI,Mali,,Tombouctou - Kel Essouk Attarane,,MLI--014,Unknown,16.720875,-2.41369444,,active,5/11/2014,,,,no,48,20,hand_pump,PMH India,,,,N/A,,5,pvc,,,,fractured_rock,3.4,,,,,,,,,,,,,,,,,,,,,,,Rehabilitation UNHCR
MLI,Mali,,Tombouctou - Kel Ikakane,,MLI--015,Unknown,16.73763889,-2.37916667,,active,,,,,no,41.2,10.21,hand_pump,PMH India,25,,,N/A,,5,pvc,,,,fractured_rock,4.73,,,,,,,,,,,,,,,,,,,,,,,Rehabilitation UNHCR
MLI,Mali,,Tombouctou - Soninké,,MLI--016,Unknown,15.62566667,-5.044,,active,24/10/2014,,,,no,84,,hand_pump,PMH India,,,,N/A,,5,pvc,,,,fractured_rock,5,,,,,,,,,,,,,,,,,,,,,,,Construction UNHCR
