row_id,source,lat_deg,lon_deg,report_date,status_id,water_source,water_source_clean,water_tech_clean,water_tech,_facility_type,country_name,adm1,adm2,_adm3,install_year,installer,_rehab_year,_rehabilitator,management,pay,status,fecal_coliform_value,fecal_coliform_presence,subjective_quality,activity_id,scheme_id,notes,photo_lnk,orig_lnk,data_lnk,public_data_source,converted,country_id,lat_lon_deg,created_timestamp,updated,geocoded_column,count,clean_country_id,clean_country_name,clean_adm1,clean_adm2,clean_adm3,water_tech_original,water_source_original,lat_deg_original,lon_deg_original,management_clean,management_original,water_source_category,water_tech_category
34345,WASH Liberia,8.176399,-10.231559,2011-01-21T00:00:00.000,Yes,Manual pump on borehole,Borehole,,Afridev,Improved,Liberia,Lofa,,,2005,ACF (Action Contre la Faim) ACFI,,,Community Management,,Working and protected Not damaged,,,Soft / Clean / Sweet,,,,http://flowliberia.s3.amazonaws.com/images/wfpPhoto568946518411.jpg,https://wash-liberia.org/raw-water-point-data/,https://catalog.waterpointdata.org/datasets/wash-liberia-wins-5f21fe8d,https://catalog.waterpointdata.org/datafiles/wash-liberia-wins-5f21fe8d.xlsx,"#installer, #management, #pay, #status",LR,"(8.176399°, -10.231559°)",2020-07-29T22:56:13.000,2020-07-29T22:56:13.000,POINT (-10.231559 8.176399),1,LBR,Liberia,Lofa,Kolahun,Wawoma,,manual pump on borehole,,,Community Management,community management,Well,
32884,WASH Liberia,6.665591,-10.126404,2011-01-27T00:00:00.000,Yes,Manual pump on hand-dug well,Protected Shallow Well,,Afridev,Unknown,Liberia,Margibi,,,2009,src,,,,No (except possibly comm. collections),Working and protected Not damaged,,,Soft / Clean / Sweet,,,,http://flowliberia.s3.amazonaws.com/images/wfpPhoto355717230080.jpg,https://wash-liberia.org/raw-water-point-data/,https://catalog.waterpointdata.org/datasets/wash-liberia-wins-5f21fe8d,https://catalog.waterpointdata.org/datafiles/wash-liberia-wins-5f21fe8d.xlsx,"#installer, #management, #pay, #status",LR,"(6.665591°, -10.126404°)",2020-07-29T22:56:13.000,2020-07-29T22:56:13.000,POINT (-10.126404 6.665591),1,LBR,Liberia,Margibi,Kakata,Dinning-Ta/Borlola,,manual pump on hand-dug well,,,,,Well,
34458,WASH Liberia,6.353437,-10.716058,2011-02-10T00:00:00.000,No,Manual pump on hand-dug well,Protected Shallow Well,,Afridev,Unknown,Liberia,Montserrado,,,2008,lds and codes,,,,,Broken Down System pump handle stolen and rubber spoiled,,,Soft / Clean / Sweet,,,,http://flowliberia.s3.amazonaws.com/images/wfpPhoto6509852697598.jpg,https://wash-liberia.org/raw-water-point-data/,https://catalog.waterpointdata.org/datasets/wash-liberia-wins-5f21fe8d,https://catalog.waterpointdata.org/datafiles/wash-liberia-wins-5f21fe8d.xlsx,"#installer, #management, #pay, #status",LR,"(6.353437°, -10.716058°)",2020-07-29T22:56:13.000,2020-07-29T22:56:13.000,POINT (-10.716058 6.353437),1,LBR,Liberia,Montserrado,St Paul River,Louisana,,manual pump on hand-dug well,,,,,Well,
32657,WASH Liberia,6.247306,-10.361341,2011-02-03T00:00:00.000,Yes,Manual pump on hand-dug well,Protected Shallow Well,,Afridev,Unknown,Liberia,Margibi,,,2005,third party,,,Community Management,No (except possibly comm. collections),Working and protected Not damaged,,,Soft / Clean / Sweet,,,,http://flowliberia.s3.amazonaws.com/images/wfpPhoto2032071653425.jpg,https://wash-liberia.org/raw-water-point-data/,https://catalog.waterpointdata.org/datasets/wash-liberia-wins-5f21fe8d,https://catalog.waterpointdata.org/datafiles/wash-liberia-wins-5f21fe8d.xlsx,"#installer, #management, #pay, #status",LR,"(6.247306°, -10.361341°)",2020-07-29T22:56:13.000,2020-07-29T22:56:13.000,POINT (-10.361341 6.247306),1,LBR,Liberia,Margibi,Mambah-Kaba,Gia,,manual pump on hand-dug well,,,Community Management,community management,Well,
33468,WASH Liberia,7.026554,-10.765124,2011-01-24T00:00:00.000,Yes,Manual pump on hand-dug well,Protected Shallow Well,,Afridev,Unknown,Liberia,Gbarpolu,,,2009,AICA,,,Community Management,,Working but with problems Apron damaged,,,Soft / Clean / Sweet,,,,http://flowliberia.s3.amazonaws.com/images/wfpPhoto841510748409.jpg,https://wash-liberia.org/raw-water-point-data/,https://catalog.waterpointdata.org/datasets/wash-liberia-wins-5f21fe8d,https://catalog.waterpointdata.org/datafiles/wash-liberia-wins-5f21fe8d.xlsx,"#installer, #management, #pay, #status",LR,"(7.026554°, -10.765124°)",2020-07-29T22:56:13.000,2020-07-29T22:56:13.000,POINT (-10.765124 7.026554),1,LBR,Liberia,Gbapolu,Gbarma,Yangayah,,manual pump on hand-dug well,,,Community Management,community management,Well,
34262,WASH Liberia,4.375711,-7.714344,2011-06-05T00:00:00.000,Yes,Manual pump on hand-dug well,Protected Shallow Well,,Afridev,Unknown,Liberia,Maryland,,,2010,Community / Private Individual (excl. Church) private,,,Other,,Working and protected Not damaged,,,Soft / Clean / Sweet,,,,http://flowliberia.s3.amazonaws.com/images/wfpPhoto4766318462780.jpg,https://wash-liberia.org/raw-water-point-data/,https://catalog.waterpointdata.org/datasets/wash-liberia-wins-5f21fe8d,https://catalog.waterpointdata.org/datafiles/wash-liberia-wins-5f21fe8d.xlsx,"#installer, #management, #pay, #status",LR,"(4.375711°, -7.714344°)",2020-07-29T22:56:13.000,2020-07-29T22:56:13.000,POINT (-7.714344 4.375711),1,LBR,Liberia,Maryland,Pleebo/Sodeken,Twansiebo,,manual pump on hand-dug well,,,Other,other,Well,
32467,WASH Liberia,7.02876,-10.527826,2011-02-11T00:00:00.000,Yes,Manual pump on hand-dug well,Protected Shallow Well,,Afridev,Unknown,Liberia,Gbarpolu,,,2009,Tearfund (incl. AEL) AEL,,,Community Management,No (except possibly comm. collections),Working and protected Not damaged,,,Soft / Clean / Sweet,,,,http://flowliberia.s3.amazonaws.com/images/wfpPhoto1367195833424.jpg,https://wash-liberia.org/raw-water-point-data/,https://catalog.waterpointdata.org/datasets/wash-liberia-wins-5f21fe8d,https://catalog.waterpointdata.org/datafiles/wash-liberia-wins-5f21fe8d.xlsx,"#installer, #management, #pay, #status",LR,"(7.02876°, -10.527826°)",2020-07-29T22:56:13.000,2020-07-29T22:56:13.000,POINT (-10.527826 7.02876),1,LBR,Liberia,Gbapolu,Bopolu,Bondi-Mandingo,,manual pump on hand-dug well,,,Community Management,community management,Well,
34614,WASH Liberia,7.02297,-9.499286,2011-05-30T00:00:00.000,No,Manual pump on hand-dug well,Protected Shallow Well,,Afridev,Unknown,Liberia,Bong,,,2009,SARPAH,,,Community Management,,Broken Down System Pump stolen,,,Soft / Clean / Sweet,,,,http://flowliberia.s3.amazonaws.com/images/wfpPhoto466423718450.jpg,https://wash-liberia.org/raw-water-point-data/,https://catalog.waterpointdata.org/datasets/wash-liberia-wins-5f21fe8d,https://catalog.waterpointdata.org/datafiles/wash-liberia-wins-5f21fe8d.xlsx,"#installer, #management, #pay, #status",LR,"(7.02297°, -9.499286°)",2020-07-29T22:56:13.000,2020-07-29T22:56:13.000,POINT (-9.499286 7.02297),1,LBR,Liberia,Bong,Jorquelleh,Jorquelleh,,manual pump on hand-dug well,,,Community Management,community management,Well,
33148,WASH Liberia,6.44381,-10.353873,2011-02-11T00:00:00.000,Yes,Manual pump on hand-dug well,Protected Shallow Well,,India Mark,Unknown,Liberia,Margibi,,,2010,Firestone,,,Community Management,,Working but with problems Pipe not touching water table.|Pipe not touching water table.,,,Soft / Clean / Sweet,,,,http://flowliberia.s3.amazonaws.com/images/wfpPhoto683710903423.jpg,https://wash-liberia.org/raw-water-point-data/,https://catalog.waterpointdata.org/datasets/wash-liberia-wins-5f21fe8d,https://catalog.waterpointdata.org/datafiles/wash-liberia-wins-5f21fe8d.xlsx,"#installer, #management, #pay, #status",LR,"(6.44381°, -10.353873°)",2020-07-29T22:56:13.000,2020-07-29T22:56:13.000,POINT (-10.353873 6.44381),1,LBR,Liberia,Margibi,Firestone,Firestone,,manual pump on hand-dug well,,,Community Management,community management,Well,
34243,WASH Liberia,4.387747,-7.71744,2011-01-24T00:00:00.000,Yes,Manual pump on borehole,Borehole,,Afridev,Improved,Liberia,Maryland,,,2003,World Vision,,,Community Management,,Working and protected Not damaged,,,Salty,,,,http://flowliberia.s3.amazonaws.com/images/wfpPhoto1680225285098.jpg,https://wash-liberia.org/raw-water-point-data/,https://catalog.waterpointdata.org/datasets/wash-liberia-wins-5f21fe8d,https://catalog.waterpointdata.org/datafiles/wash-liberia-wins-5f21fe8d.xlsx,"#installer, #management, #pay, #status",LR,"(4.387747°, -7.71744°)",2020-07-29T22:56:13.000,2020-07-29T22:56:13.000,POINT (-7.71744 4.387747),1,LBR,Liberia,Maryland,Pleebo/Sodeken,Kleebo,,manual pump on borehole,,,Community Management,community management,Well,
